country_name,female,male
United States of America,4932362,5358928
United Kingdom,1601492,1407701
Switzerland,238673,321053
Hong Kong,123491,178208
Japan,63605,457284
South Korea,33500,320378
Canada,691620,886973
Singapore,164958,174762
Australia,732343,642384
China,139057,475713
France,168903,306907
Germany,910778,1130998
Ireland,53082,128816
Sweden,233651,329017
Finland,77565,39960
Taiwan,72426,119232
South Africa,53105,47095
Netherlands,616589,579933
Belgium,343654,280641
Denmark,170275,136875
Norway,13948,117854
Spain,102633,66491
New Zealand,80425,68510
Egypt,58618,68813
Turkey,47007,64852
Austria,149129,76986
Israel,43597,136614
Brazil,78146,84658
Italy,8847,8918
Russia,13253,17569