country_name,total_students,total_female,total_male
United States of America,10291290,4932362,5358928
United Kingdom,3009193,1601492,1407701
Switzerland,559726,238673,321053
Hong Kong,301699,123491,178208
Japan,520889,63605,457284
South Korea,353878,33500,320378
Canada,1578593,691620,886973
Singapore,339720,164958,174762
Australia,1374727,732343,642384
China,614770,139057,475713
France,475810,168903,306907
Germany,2041776,910778,1130998
Ireland,181898,53082,128816
Sweden,562668,233651,329017
Finland,117525,77565,39960
Taiwan,191658,72426,119232
South Africa,100200,53105,47095
Netherlands,1196522,616589,579933
Belgium,624295,343654,280641
Denmark,307150,170275,136875
Norway,131802,13948,117854
Spain,169124,102633,66491
New Zealand,148935,80425,68510
Egypt,127431,58618,68813
Turkey,111859,47007,64852
Austria,226115,149129,76986
Israel,180211,43597,136614
Brazil,162804,78146,84658
Italy,17765,8847,8918
Russia,30822,13253,17569